SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_658_54981-LF,STD CLEAN RAKO 600X400X233,HZKH,HZKH,A0000N,10,10,8.0,79.3065,634.45,16.0,HZKH,1,True,1,,False,False,False
ASM4022_658_58531-LF,STD CARDB BOX 605X405X240-MD,LZKL,LZKL,A0000N,0,0,251.0,3.0765,772.21,171.0,LZKL,1,True,1,,False,False,False
ASM4022_658_58561-LF,STD CARDB BOX 810X610X240-MD,LZKL,,A0000N,0,0,46.0,7.266,334.24,6.0,LZKL,1,True,1,,False,False,False
ASM4022_658_59151-LF,STD LDPE FLAT BAG 900X1150,K0402,K0402,A0000N,2,2,179.0,8.99,1609.21,28.0,K0402,1,False,1,Legbord,False,True,False
ASM4022_658_59191-LF,SHIELD BAG 390X490 (B) TAPED,K0803,K0803,A0000N,0,0,122.0,7.854,958.19,126.0,K0803,1,False,1,Pallet,False,False,False
ASM4022_658_59861-LF,CARDB BOX 717X517X365,LZKL,LZKL,A0000N,0,0,462.0,6.153,2842.69,121.0,LZKL,1,True,1,,False,False,False
ASM4022_658_61061-LF,STD PALLET BOX SMALL LOW (KL),HZKH,HZKH,A0000N,22,22,1.0,291.648,291.65,115.0,HZKH,1,True,1,,False,False,False
ASM4022_658_61161-LF,PAPERBOX CUSHION LIGHTWEIGHT,J0702,,A0000N,0,0,214.0,4.4835,959.47,8.0,J0702,1,False,1,Legbord,False,True,False
ASM4022_658_61901-LF,COLA TOOL SET TA,HZKH,HZKH,A0000N,2,2,3.0,760.368,2281.1,2.0,HZKH,1,True,1,,False,False,False
ASM4022_658_62011-LF,STD PABOX LL,HZKH,HZKH,A0000N,0,0,62.0,389.319,24137.78,150.0,HZKH,1,True,1,,False,False,False
